_id;Sr No.;Year;Region;Sub Region;Motor Cycles;Scooters;Moped;Cars;Jeeps;Stn. Wagons;Taxis meter fited;Luxury /Turist Cabs/;Auto-rikshaws;Stage carriages;Contract carriages /Mini Bus;School Buses;Private Service Vehicles;Ambulances;Articulated/Multi.;Trucks & Lorries;Tanker;Delivery Van (4 wheelers);Delivery Van (3 wheelers);Tractors;Trailors;Others
768;768;2015-2016;Pune Region;Solapur;444099;74686;72605;34148;15602;192;0;1551;8593;292;95;291;118;243;22;9596;850;11821;9712;22789;14619;589
769;769;2015-2016;Pune Region;Pimpri-Chinchwad;845067;185043;37591;212188;15614;60;0;20685;5688;3697;6030;313;589;1563;9;16023;1448;28760;24740;16498;4109;3586
770;770;2015-2016;Pune Region;Baramati;219950;6345;650;26663;4658;8;0;558;1523;0;189;292;92;113;110;6451;542;10759;5759;16878;16005;828
771;771;2015-2016;Pune Region;Akluj;170152;430;110;22272;2969;13;0;268;370;63;70;149;9;67;45;2413;110;5904;3107;12605;6843;898
772;772;2015-2016;Nashik Region;Nashik;762183;199147;53591;140897;26433;94;2100;3294;21496;950;1383;761;203;618;37;12385;836;28759;11928;64314;28122;5761
773;773;2015-2016;Nashik Region;Ahmednagar;358089;70639;42280;35324;12842;254;873;1107;5977;761;115;386;84;239;107;7719;522;13408;7384;24383;13170;2398
774;774;2015-2016;Nashik Region;Srirampur;448336;26801;29540;36373;12664;792;1350;1840;5259;0;211;509;72;175;251;6140;713;11031;11027;30605;19323;1362
775;775;2015-2016;Nashik Region;Malegaon;242982;9561;10002;19720;2440;2;1096;324;8644;0;52;190;12;99;9;4865;127;7166;3690;24015;18330;293
776;776;2015-2016;Dhule Region;Dhule;211074;33436;28776;21848;5668;401;149;2873;12700;673;316;175;94;155;1159;9765;785;4738;7481;17645;14424;395
777;777;2015-2016;Dhule Region;Jalgaon;460297;82004;63286;34581;11452;548;2956;505;29959;0;427;373;91;226;0;8083;314;6970;14647;31543;22095;1429
778;778;2015-2016;Dhule Region;Nandurbar;90171;18340;3928;12609;4302;1533;44;404;830;0;80;37;23;70;0;701;72;1249;3740;9585;4973;285
